sid, performer, compatibility, turn, dir, col, resp, corr, rt
1,1,2,1,1,1,1,1,0.358491884
1,1,2,1,1,1,1,1,0.378323167
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.328416024
1,1,1,1,2,1,1,1,0.442806342
1,1,1,1,2,1,1,1,0.397259457
1,1,1,1,2,1,1,1,0.352879663
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.389427604
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.450956029
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.41345143
1,1,2,1,1,1,1,1,0.492029553
1,1,1,1,2,1,1,1,0.416030759
1,1,2,0,2,2,0,1,7
1,1,2,1,1,1,1,1,0.451508732
1,1,2,0,2,2,0,1,7
1,1,2,1,1,1,1,1,0.362087326
1,1,1,1,2,1,1,1,0.442995094
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,2,1,1,1,1,1,0.371494373
1,1,2,1,1,1,1,1,0.357197624
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.354321634
1,1,1,0,1,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.346732504
1,1,1,1,2,1,1,1,0.364676329
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.337083798
1,1,1,1,2,1,1,1,0.388702926
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.362804129
1,1,2,0,2,2,0,1,7
1,1,2,1,1,1,1,1,0.365630536
1,1,2,1,1,1,1,1,0.417579424
1,1,2,1,1,1,1,1,0.371326406
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.46194453
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.401942946
1,1,1,1,2,1,1,1,0.353684863
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,1,2,1,1,1,0.398440026
1,1,2,1,1,1,1,1,0.3511637
1,1,2,1,1,1,1,1,0.30665671
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.375908235
1,1,1,0,1,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.417761096
1,1,2,1,1,1,1,1,0.372702473
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,2,1,1,1,1,1,0.395813749
1,1,1,1,2,1,1,1,0.445237086
1,1,2,1,1,1,1,1,0.369153877
1,1,2,1,1,1,1,1,0.354085205
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.392824885
1,1,1,1,2,1,1,1,0.347847321
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.388396793
1,1,1,1,2,1,1,1,0.344102711
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,2,1,1,1,1,1,0.322837014
1,1,1,1,2,1,1,1,0.341197696
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.362793623
1,1,1,1,2,1,1,1,0.350455076
1,1,2,1,1,1,1,1,0.335717987
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,2,1,1,1,1,1,0.347087448
1,1,1,0,1,2,0,1,7
1,1,2,0,2,2,0,1,7
1,1,1,0,1,2,0,1,7
1,1,1,1,2,1,1,1,0.325386613
1,1,1,1,2,1,1,1,0.313395384
1,1,2,1,1,1,1,1,0.330192267
1,1,2,0,2,2,0,1,7
1,1,2,1,1,1,1,1,0.368717476
1,1,2,0,2,2,0,1,7
1,2,2,0,2,2,0,1,7
1,2,1,0,1,2,0,1,7
